step,value,metric,run_id,algorithm,observation_mode,reward_mode
31858,1.2688000202178955,training_reward,dqn_compact_coverage,dqn,compact,coverage
32147,0.8927000164985657,training_reward,dqn_compact_coverage,dqn,compact,coverage
32215,1.188099980354309,training_reward,dqn_compact_coverage,dqn,compact,coverage
32322,1.3481999635696411,training_reward,dqn_compact_coverage,dqn,compact,coverage
32364,1.4515000581741333,training_reward,dqn_compact_coverage,dqn,compact,coverage
32869,1.3920999765396118,training_reward,dqn_compact_coverage,dqn,compact,coverage
32897,1.3401000499725342,training_reward,dqn_compact_coverage,dqn,compact,coverage
32939,1.2761000394821167,training_reward,dqn_compact_coverage,dqn,compact,coverage
32975,1.4434000253677368,training_reward,dqn_compact_coverage,dqn,compact,coverage
33209,1.2395000457763672,training_reward,dqn_compact_coverage,dqn,compact,coverage
33405,1.2926000356674194,training_reward,dqn_compact_coverage,dqn,compact,coverage
34050,0.916700005531311,training_reward,dqn_compact_coverage,dqn,compact,coverage
34091,0.8772000074386597,training_reward,dqn_compact_coverage,dqn,compact,coverage
34200,0.847100019454956,training_reward,dqn_compact_coverage,dqn,compact,coverage
34377,0.895799994468689,training_reward,dqn_compact_coverage,dqn,compact,coverage
34502,0.8335999846458435,training_reward,dqn_compact_coverage,dqn,compact,coverage
34544,0.5914000272750854,training_reward,dqn_compact_coverage,dqn,compact,coverage
34859,0.6220999956130981,training_reward,dqn_compact_coverage,dqn,compact,coverage
34975,1.0392999649047852,training_reward,dqn_compact_coverage,dqn,compact,coverage
35305,1.0336999893188477,training_reward,dqn_compact_coverage,dqn,compact,coverage
35542,0.8737999796867371,training_reward,dqn_compact_coverage,dqn,compact,coverage
35649,0.7598000168800354,training_reward,dqn_compact_coverage,dqn,compact,coverage
35677,0.7383999824523926,training_reward,dqn_compact_coverage,dqn,compact,coverage
35722,0.7389000058174133,training_reward,dqn_compact_coverage,dqn,compact,coverage
35744,0.7610999941825867,training_reward,dqn_compact_coverage,dqn,compact,coverage
35776,0.7422000169754028,training_reward,dqn_compact_coverage,dqn,compact,coverage
36296,0.6521000266075134,training_reward,dqn_compact_coverage,dqn,compact,coverage
36324,0.6050999760627747,training_reward,dqn_compact_coverage,dqn,compact,coverage
36411,0.4415999948978424,training_reward,dqn_compact_coverage,dqn,compact,coverage
36587,0.5192000269889832,training_reward,dqn_compact_coverage,dqn,compact,coverage
36621,0.6873000264167786,training_reward,dqn_compact_coverage,dqn,compact,coverage
36821,0.8385999798774719,training_reward,dqn_compact_coverage,dqn,compact,coverage
36931,0.7537999749183655,training_reward,dqn_compact_coverage,dqn,compact,coverage
37070,0.7114999890327454,training_reward,dqn_compact_coverage,dqn,compact,coverage
37104,0.8934999704360962,training_reward,dqn_compact_coverage,dqn,compact,coverage
37187,0.9193000197410583,training_reward,dqn_compact_coverage,dqn,compact,coverage
37226,1.3514000177383423,training_reward,dqn_compact_coverage,dqn,compact,coverage
37320,1.3020999431610107,training_reward,dqn_compact_coverage,dqn,compact,coverage
37916,0.85589998960495,training_reward,dqn_compact_coverage,dqn,compact,coverage
37967,0.8744999766349792,training_reward,dqn_compact_coverage,dqn,compact,coverage
37999,0.8442999720573425,training_reward,dqn_compact_coverage,dqn,compact,coverage
38161,0.8353000283241272,training_reward,dqn_compact_coverage,dqn,compact,coverage
38429,0.7544999718666077,training_reward,dqn_compact_coverage,dqn,compact,coverage
